step,train_loss,val_loss
0,4.989943981170654,4.997300624847412
200,2.2735390663146973,2.238898277282715
400,2.127228021621704,2.133157730102539
600,2.070807456970215,2.07132625579834
800,2.0202925205230713,2.024240493774414
0,1.9765691757202148,1.9732022285461426
200,1.9790953397750854,1.9725192785263062
400,1.9468841552734375,1.9546667337417603
600,1.9211158752441406,1.9505562782287598
800,1.9105175733566284,1.911683201789856
0,1.894407033920288,1.9114766120910645
200,1.8646626472473145,1.8845419883728027
400,1.8624122142791748,1.892493724822998
600,1.8389395475387573,1.863908052444458
800,1.8245660066604614,1.8411577939987183
0,1.8142575025558472,1.839137315750122
200,1.8238518238067627,1.8360087871551514
400,1.8130240440368652,1.8213629722595215
600,1.8115898370742798,1.8211867809295654
800,1.7896288633346558,1.8051828145980835
0,1.8024418354034424,1.8284111022949219
200,1.7780996561050415,1.7949517965316772
400,1.7804532051086426,1.819130539894104
600,1.7776991128921509,1.791096806526184
800,1.7831577062606812,1.812656283378601
0,1.770363211631775,1.797856092453003
200,1.764145851135254,1.7857273817062378
400,1.7533694505691528,1.7866822481155396
600,1.758284330368042,1.7865153551101685
800,1.7591687440872192,1.7619248628616333
0,1.7441449165344238,1.7648776769638062
200,1.7288012504577637,1.761621117591858
400,1.7340246438980103,1.7824640274047852
600,1.734521508216858,1.7576861381530762
800,1.7590619325637817,1.7891579866409302
0,1.722080111503601,1.7698954343795776
200,1.7162725925445557,1.7602542638778687
400,1.7064892053604126,1.748409390449524
600,1.7152899503707886,1.7550970315933228
800,1.7093892097473145,1.7381972074508667
0,1.7125732898712158,1.7546114921569824
200,1.7142666578292847,1.7527590990066528
400,1.7122615575790405,1.748059868812561
600,1.6969311237335205,1.7326016426086426
800,1.681917667388916,1.7409805059432983
0,1.693727731704712,1.7344807386398315
200,1.7012009620666504,1.7400012016296387
400,1.6947073936462402,1.7479164600372314
600,1.6883440017700195,1.733656406402588
800,1.6755378246307373,1.7429028749465942
0,1.6935712099075317,1.7429640293121338
200,1.6899954080581665,1.7390633821487427
400,1.682868242263794,1.7219746112823486
600,1.68817937374115,1.7200239896774292
800,1.6827930212020874,1.7359449863433838
0,1.673423409461975,1.72637939453125
200,1.6722439527511597,1.7341233491897583
400,1.670122504234314,1.7083897590637207
600,1.656092882156372,1.7262012958526611
800,1.6756391525268555,1.737457275390625
0,1.6847305297851562,1.7366093397140503
200,1.654037594795227,1.7153552770614624
400,1.6628713607788086,1.7062277793884277
600,1.6717631816864014,1.7215825319290161
800,1.6645231246948242,1.7132666110992432
0,1.6606265306472778,1.7059820890426636
200,1.6527764797210693,1.704168438911438
400,1.6663316488265991,1.71474289894104
600,1.6593586206436157,1.6963229179382324
800,1.647361159324646,1.702560305595398
0,1.6551591157913208,1.7024734020233154
200,1.6523900032043457,1.6970148086547852
400,1.6505920886993408,1.697756290435791
600,1.636845350265503,1.6963353157043457
800,1.6534080505371094,1.7072988748550415
0,1.6589566469192505,1.6876646280288696
200,1.6338669061660767,1.713828682899475
400,1.6517841815948486,1.693723201751709
600,1.6514424085617065,1.701051950454712
800,1.6330161094665527,1.6940698623657227
0,1.6354037523269653,1.6795992851257324
200,1.6456860303878784,1.705927848815918
400,1.6503924131393433,1.7056864500045776
600,1.634488582611084,1.7009996175765991
800,1.6202830076217651,1.695639967918396
0,1.6350308656692505,1.7031886577606201
200,1.6286461353302002,1.6904196739196777
400,1.6259781122207642,1.706052541732788
600,1.6196402311325073,1.6880017518997192
800,1.6232428550720215,1.6828991174697876
0,1.6167821884155273,1.6898916959762573
200,1.621962308883667,1.6879146099090576
400,1.6333229541778564,1.6882134675979614
600,1.6349194049835205,1.7147116661071777
800,1.6146999597549438,1.6860121488571167
0,1.6251938343048096,1.683250069618225
200,1.6313111782073975,1.6835910081863403
400,1.6113171577453613,1.6720727682113647
600,1.6253606081008911,1.6963074207305908
800,1.6201982498168945,1.6898887157440186
